Code,Name,Population,Housing Units,Land Area,Water Area
558,"Lima, OH",183139,78277,1286.477,6.578
722,"Lincoln et al, NE",750486,332370,39294.552,200.313
693,"Little Rock et al, AR",1458593,678886,26048.969,621.481
803,"Los Angeles, CA",18660310,6588946,47217.451,1455.545
529,"Louisville, KY",1795191,782992,9931.649,183.007
651,"Lubbock, TX",469007,197879,16812.399,31.622
503,"Macon, GA",662802,286642,8355.883,99.208
669,"Madison, WI",1031791,462072,8447.95,190.356
737,"Mankato, MN",170073,73683,3657.712,81.532
553,"Marquette, MI",211342,119868,10752.724,15860.184
813,"Medford et al, OR",453751,207297,26417.641,856.996
640,"Memphis, TN",1840681,795932,16698.957,428.872
711,"Meridian, MS",174457,79944,5126.641,34.399
528,"Miami-Ft. Lauderdale, FL",4706908,1973655,4085.867,4901.447
617,"Milwaukee, WI",2335461,1026600,4558.412,3647.343
613,"Minneapolis-St. Paul, MN",4828603,2070974,41241.867,2656.945
687,"Minot et al, ND",432274,209535,64718.946,1582.697
762,"Missoula, MT",315720,153109,17268.847,405.569
686,"Mobile et al, AL-FL",1461846,678955,10558.525,1888.806
628,"Monroe-El Dorado, LA-AR",468163,211440,11985.165,348.47
828,"Monterey-Salinas, CA",774420,269165,5115.476,653.38
698,"Montgomery-Selma, AL",637045,296560,11313.925,190.429
570,"Myrtle Beach et al, SC",783779,394848,5135.035,146.55
659,"Nashville, TN",3015611,1278187,20368.312,430.654
622,"New Orleans, LA",1756983,781835,8247.186,6065.111
501,"New York, NY",22031993,8757520,10741.071,2654.758
544,"Norfolk et al, VA",1987058,874466,6390.187,4183.849
740,"North Platte, NE",36808,17555,4706.68,13.252
633,"Odessa-Midland, TX",460327,189393,30350.128,36.695
650,"Oklahoma City, OK",1953754,847149,30301.945,281.34
652,"Omaha, NE",1172212,492622,12860.875,120.674
534,"Orlando et al, FL",4394672,1932382,8239.49,1574.814
631,"Ottumwa et al, IA-MO",127626,59355,5131.99,36.683
632,"Paducah et al, KY-MO-IL",943181,444020,18060.651,535.625
804,"Palm Springs, CA",0,0,0.0,0.0
656,"Panama City, FL",396722,223366,6280.019,2289.308
597,"Parkersburg, WV",152243,71553,1128.593,22.72
675,"Peoria-Bloomington, IL",596424,267789,5393.974,91.985
504,"Philadelphia, PA",8311973,3483492,7929.454,1111.363
753,"Phoenix et al, AZ",5668641,2420451,91506.776,314.638
508,"Pittsburgh, PA",2910687,1383550,11121.889,117.753
820,"Portland, OR",3478738,1444781,50292.638,1152.179
500,"Portland-Auburn, ME",1025662,556209,10738.211,2154.234
552,"Presque Isle, ME",67272,38485,6671.087,156.321
521,"Providence et al, RI-MA",1668019,723480,1587.003,649.094
717,"Quincy et al, IL-MO-IA",252298,119217,8149.775,145.141
560,"Raleigh et al, NC",3216784,1370974,11551.658,208.021
764,"Rapid City, SD",269826,124574,40560.445,146.337
811,"Reno, NV",742129,317520,47459.124,657.067
556,"Richmond-Petersburg, VA",1527845,654330,9125.258,495.587
573,"Roanoke-Lynchburg, VA",1143901,549389,13297.933,126.673
611,"Rochester et al, MN-IA",381641,169929,6755.747,31.236
538,"Rochester, NY",1047785,469373,2874.75,1553.599
610,"Rockford, IL",470040,204334,2841.461,16.504
862,"Sacramento et al, CA",4150080,1564959,16851.747,398.946
576,"Salisbury, MD",446910,267837,2639.491,1245.34
770,"Salt Lake City, UT",3411722,1213829,137139.488,2563.994
661,"San Angelo, TX",152684,70432,16301.095,55.478
641,"San Antonio, TX",2845950,1127228,29741.747,228.03
825,"San Diego, CA",3296317,1221613,4210.266,315.556
807,"San Francisco et al, CA",7899614,3018162,11672.136,1730.111
855,"Santa Barbara et al, CA",730422,280842,6034.784,1368.673
507,"Savannah, GA",975881,436629,9087.711,914.043
819,"Seattle-Tacoma, WA",5465505,2305620,25688.525,4157.764
657,"Sherman-Ada, TX-OK",346702,156934,8566.432,266.426
612,"Shreveport, LA",983042,453913,18811.672,699.051
624,"Sioux City, IA",430758,189406,13708.298,131.239
725,"Sioux Falls et al, SD",700897,309884,48335.582,1155.576
588,"South Bend-Elkhart, IN",906840,398519,4444.74,1083.241
881,"Spokane, WA",1232265,545454,52151.222,799.479
619,"Springfield, MO",1100237,536548,20903.509,405.044
543,"Springfield-Holyoke, MA",699160,296706,1843.449,60.479
638,"St. Joseph, MO",122756,53513,1655.718,19.925
609,"St. Louis, MO",3185910,1424601,17210.701,308.869
555,"Syracuse, NY",1156306,520501,5585.988,697.858
530,"Tallahassee et al, FL-GA",758240,335937,10414.059,1021.329
539,"Tampa et al, FL",4962076,2364670,7849.91,2730.336
581,"Terre Haute, IN",405649,180838,6759.106,65.043
547,"Toledo, OH",1059900,485754,5512.193,626.615
605,"Topeka, KS",278640,123162,10510.43,139.301
540,"Traverse City et al, MI",615710,396182,15028.064,11349.463
531,"Tri-Cities, TN-VA",787203,377279,7128.335,70.218
789,"Tucson(Sierra Vista), AZ",1207618,544749,16634.68,9.974
671,"Tulsa, OK",1430762,639572,16663.203,603.269
760,"Twin Falls, ID",203545,83272,10410.287,58.985
709,"Tyler-Longview et al, TX",758218,330133,8878.027,385.764
526,"Utica, NY",119548,62499,2412.324,60.491
626,"Victoria, TX",91280,38685,882.087,6.748
548,"W. Palm Beach et al, FL",2161873,1031043,4351.8,981.188
625,"Waco-Temple-Bryan, TX",1095462,450868,12065.707,158.33
511,"Washington et al, DC-MD",7113084,2816907,12151.311,908.149
549,"Watertown, NY",253151,128570,5223.773,745.725
705,"Wausau-Rhinelander, WI",453862,254338,10749.189,504.681
554,"Wheeling et al, WV-OH",308942,150317,2995.741,48.457
627,"Wichita Fls et al, TX-OK",413798,187755,12914.374,193.984
678,"Wichita et al, KS",1208016,531027,57017.048,188.845
577,"Wilkes Barre et al, PA",1417555,674141,10037.693,136.726
550,"Wilmington, NC",500507,268689,3726.773,428.575
810,"Yakima et al, WA",740839,277456,14018.991,179.557
536,"Youngstown, OH",644790,300179,2233.521,44.986
771,"Yuma-El Centro, AZ-CA",382995,148326,9689.378,310.22
596,"Zanesville, OH",86346,38291,664.546,8.04
