GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
00037	Abbeville, LA Urban Area		28651258	508378	11.062	0.196	29.96865	-92.095225                                                                                                                        
00064	Abbeville, SC Urban Area		12815034	6144	4.948	0.002	34.176729	-82.382945                                                                                                                          
00145	Aberdeen, SD Urban Area		35989074	183150	13.895	0.071	45.463204	-98.468811                                                                                                                        
00172	Aberdeen, WA Urban Area		28416190	1802207	10.972	0.696	46.974594	-123.831816                                                                                                                      
00253	Abilene, KS Urban Area		9426822	1877	3.64	0.001	38.92106	-97.220754                                                                                                                               
00280	Abilene, TX Urban Area		160509868	1015710	61.973	0.392	32.42579	-99.74988                                                                                                                         
00388	Ada, OH Urban Area		5425263	0	2.095	0.	40.767953	-83.825064                                                                                                                                       
00415	Ada, OK Urban Area		36907462	32242	14.25	0.012	34.775053	-96.673796                                                                                                                               
00442	Adairsville, GA Urban Area		13860065	0	5.351	0.	34.368693	-84.936303                                                                                                                              
00469	Adel, GA Urban Area		15827698	171671	6.111	0.066	31.144649	-83.427577                                                                                                                             
00496	Adel, IA Urban Area		7103711	16231	2.743	0.006	41.61053	-94.023973                                                                                                                                
00550	Adjuntas, PR Urban Area		12595414	563	4.863	0.	18.16311	-66.720634                                                                                                                                
00577	Adrian, MI Urban Area		34641305	384850	13.375	0.149	41.899205	-84.04018                                                                                                                           
00604	Agat--Apra Harbor, GU Urban Area		10357137	0	3.999	0.	13.399011	+144.673895                                                                                                                       
00631	Aguadilla--Isabela--San Sebastián, PR Urban Area		485079438	346325	187.29	0.134	18.391426	-67.091325                                                                                              
00658	Ahoskie, NC Urban Area		8613935	0	3.326	0.	36.286472	-76.983542                                                                                                                                   
00660	Aibonito, PR Urban Area		34464617	59596	13.307	0.023	18.13458	-66.275739                                                                                                                          
00766	Akron, OH Urban Area		778645865	15073639	300.637	5.82	41.073342	-81.495355                                                                                                                        
00820	Alamogordo, NM Urban Area		35560842	4382	13.73	0.002	32.892453	-105.952133                                                                                                                        
00847	Alamosa, CO Urban Area		19904813	38995	7.685	0.015	37.464471	-105.875242                                                                                                                          
00901	Albany, GA Urban Area		172252811	1905095	66.507	0.736	31.586505	-84.172328                                                                                                                        
00955	Albany, OR Urban Area		59682450	191140	23.044	0.074	44.635118	-123.093403                                                                                                                         
00970	Albany--Schenectady, NY Urban Area		702786283	13960284	271.347	5.39	42.742965	-73.799324                                                                                                          
00982	Albemarle, NC Urban Area		43154114	47629	16.662	0.018	35.379959	-80.188772                                                                                                                        
01009	Albert Lea, MN Urban Area		27953411	1396477	10.793	0.539	43.653783	-93.365114                                                                                                                     
01036	Albertville, AL Urban Area		90238609	613266	34.841	0.237	34.269468	-86.217373                                                                                                                     
01090	Albion, MI Urban Area		12150862	136862	4.691	0.053	42.249581	-84.755351                                                                                                                           
01117	Albion, NY Urban Area		7626920	0	2.945	0.	43.24579	-78.193578                                                                                                                                     
01171	Albuquerque, NM Urban Area		681358439	6964860	263.074	2.689	35.131793	-106.623857                                                                                                                 
01252	Alexander City, AL Urban Area		25354840	35945	9.79	0.014	32.943492	-85.962142                                                                                                                     
01273	Alexandria, IN Urban Area		9853045	11855	3.804	0.005	40.257609	-85.679057                                                                                                                         
01279	Alexandria, LA Urban Area		167545327	1851472	64.69	0.715	31.3237	-92.447707                                                                                                                       
01306	Alexandria, MN Urban Area		58450351	18928970	22.568	7.309	45.891937	-95.378886                                                                                                                    
01387	Algona, IA Urban Area		8678800	16085	3.351	0.006	43.073988	-94.228673                                                                                                                             
01414	Alice, TX Urban Area		25980592	0	10.031	0.	27.750622	-98.07342                                                                                                                                    
01441	Allegan, MI Urban Area		17817488	2275950	6.879	0.879	42.536282	-85.850898                                                                                                                         
01450	Allendale, MI Urban Area		27311452	158913	10.545	0.061	42.964159	-85.929201                                                                                                                       
01495	Allentown--Bethlehem, PA--NJ Urban Area		677421847	9280676	261.554	3.583	40.639158	-75.414498                                                                                                     
01522	Alliance, NE Urban Area		12733828	31691	4.917	0.012	42.09978	-102.873281                                                                                                                          
01549	Alliance, OH Urban Area		44687294	230974	17.254	0.089	40.913518	-81.097902                                                                                                                        
01630	Alma--St. Louis, MI Urban Area		23400578	551837	9.035	0.213	43.390674	-84.641499                                                                                                                  
01684	Alpena, MI Urban Area		32911444	1992202	12.707	0.769	45.04959	-83.453573                                                                                                                          
01701	Alpine, CA Urban Area		25499890	1475	9.846	0.001	32.825726	-116.781139                                                                                                                            
01711	Alpine, TX Urban Area		11103460	688	4.287	0.	30.360219	-103.667414                                                                                                                                
01738	Altavista, VA Urban Area		15387790	163736	5.941	0.063	37.113134	-79.291707                                                                                                                        
01765	Alton, IL Urban Area		154514193	2463025	59.658	0.951	38.898528	-90.121266                                                                                                                         
01792	Altoona, PA Urban Area		95837876	160936	37.003	0.062	40.477649	-78.398538                                                                                                                         
01846	Altus, OK Urban Area		40559962	525871	15.66	0.203	34.657061	-99.309046                                                                                                                            
01873	Alva, OK Urban Area		9442973	0	3.646	0.	36.799658	-98.665505                                                                                                                                      
01900	Alvarado, TX Urban Area		8120549	14849	3.135	0.006	32.412336	-97.216697                                                                                                                           
01927	Amarillo, TX Urban Area		217540563	1780045	83.993	0.687	35.192028	-101.846942                                                                                                                     
02008	Americus, GA Urban Area		28455213	154905	10.987	0.06	32.077399	-84.219732                                                                                                                         
02062	Ames, IA Urban Area		57908251	209840	22.359	0.081	42.02461	-93.629124                                                                                                                             
02103	Amherst Town--Northampton--Easthampton Town, MA Urban Area		141549793	1731253	54.653	0.668	42.275255	-72.653406                                                                                   
02143	Amory, MS Urban Area		14519988	27224	5.606	0.011	33.983635	-88.478932                                                                                                                             
02170	Amsterdam, NY Urban Area		26044812	839958	10.056	0.324	42.952606	-74.192053                                                                                                                       
