GEOID,GNIS ID,Name,Short Name,State,CBSA,Central,DMA,Time Zone,FIPS Class,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
05061,66872,Howard County,Howard,AR,,F,612,America/Chicago,H1,13789,6238,1524346632,17509479,34.0887429,-93.9934934
05079,66873,Lincoln County,Lincoln,AR,38220,F,693,America/Chicago,H1,14134,4860,1454321132,27631033,33.9574676,-91.7333249
05081,66874,Little River County,Little River,AR,45500,F,612,America/Chicago,H1,13171,6460,1378529805,84207522,33.7005399,-94.2343409
05015,66975,Carroll County,Carroll,AR,,F,619,America/Chicago,H1,27446,13559,1631917381,22566276,36.3410285,-93.5382487
05023,66983,Cleburne County,Cleburne,AR,,F,693,America/Chicago,H1,25970,15826,1434055831,99015207,35.5381092,-92.0267357
05125,67102,Saline County,Saline,AR,30780,T,693,America/Chicago,H1,107118,44811,1874124567,17835823,34.6466181,-92.6765729
05017,69160,Chicot County,Chicot,AR,,F,647,America/Chicago,H1,11800,5421,1668740125,120391665,33.2672553,-91.2939728
05033,69161,Crawford County,Crawford,AR,22900,T,670,America/Chicago,H1,61948,26115,1536106675,28873990,35.5890909,-94.2428596
05035,69162,Crittenden County,Crittenden,AR,32820,T,640,America/Chicago,H1,50902,21489,1579271661,68938875,35.207942,-90.3088607
05063,69163,Independence County,Independence,AR,12900,T,693,America/Chicago,H1,36647,16187,1978628920,19593957,35.7415796,-91.5697244
05085,69164,Lonoke County,Lonoke,AR,30780,T,693,America/Chicago,H1,68356,27239,1996176993,83170220,34.7542703,-91.8886677
05087,69165,Madison County,Madison,AR,22220,F,670,America/Chicago,H1,15717,7481,2160711386,7316240,36.0109646,-93.724563
05091,69166,Miller County,Miller,AR,45500,T,612,America/Chicago,H1,43462,19281,1620239736,31263840,33.3121466,-93.8915606
05095,69167,Monroe County,Monroe,AR,,F,693,America/Chicago,H1,8149,4455,1572439014,36715157,34.6778384,-91.2038915
05097,69168,Montgomery County,Montgomery,AR,,F,693,America/Chicago,H1,9487,5763,2019879948,52859758,34.5387936,-93.6595317
05099,69169,Nevada County,Nevada,AR,26260,F,693,America/Chicago,H1,8997,4563,1600189595,7257804,33.6639661,-93.3071433
05103,69170,Ouachita County,Ouachita,AR,15780,T,693,America/Chicago,H1,26120,13121,1897899921,18050486,33.593355,-92.8819344
05105,69171,Perry County,Perry,AR,30780,F,693,America/Chicago,H1,10445,4907,1428125735,23648787,34.9473747,-92.9314711
05107,69172,Phillips County,Phillips,AR,25760,T,640,America/Chicago,H1,21757,10126,1801758335,82056090,34.4282913,-90.8480221
05109,69173,Pike County,Pike,AR,,F,693,America/Chicago,H1,11291,5580,1555592368,34995957,34.163498,-93.6563417
05111,69174,Poinsett County,Poinsett,AR,27860,F,640,America/Chicago,H1,24583,10923,1964217602,13522889,35.5740321,-90.66294
05113,69175,Polk County,Polk,AR,,F,693,America/Chicago,H1,20662,10002,2221377955,12387478,34.4858447,-94.2280685
05117,69176,Prairie County,Prairie,AR,,F,693,America/Chicago,H1,8715,4503,1678203880,71628651,34.8297887,-91.552772
05119,69177,Pulaski County,Pulaski,AR,30780,T,693,America/Chicago,H1,382748,175555,1967777404,124061704,34.7699318,-92.3117996
05121,69178,Randolph County,Randolph,AR,,F,734,America/Chicago,H1,17969,8513,1689166005,9968447,36.3414833,-91.0277165
05127,69179,Scott County,Scott,AR,,F,670,America/Chicago,H1,11233,5193,2311098364,14901123,34.860763,-94.0632491
05129,69180,Searcy County,Searcy,AR,,F,693,America/Chicago,H1,8195,4900,1725176918,6256956,35.9109029,-92.6994883
05131,69181,Sebastian County,Sebastian,AR,22900,T,670,America/Chicago,H1,125744,54651,1377643728,36905742,35.1997162,-94.2741404
05133,69182,Sevier County,Sevier,AR,,F,612,America/Chicago,H1,17058,6887,1463670417,41830997,33.9971994,-94.2412174
05135,69183,Sharp County,Sharp,AR,12900,F,734,America/Chicago,H1,17264,9822,1565489388,5172578,36.1611568,-91.4798635
05005,69895,Baxter County,Baxter,AR,34260,T,619,America/Chicago,H1,41513,22580,1435587546,83997217,36.2871885,-92.3369713
05007,69896,Benton County,Benton,AR,22220,T,670,America/Chicago,H1,221339,93084,2194644508,94662461,36.3387236,-94.2561898
05009,69897,Boone County,Boone,AR,25460,T,619,America/Chicago,H1,36903,16827,1528692190,30044428,36.3085991,-93.0915627
05089,69898,Marion County,Marion,AR,,F,619,America/Chicago,H1,16653,9354,1546245256,112174577,36.2683475,-92.6842202
05093,69899,Mississippi County,Mississippi,AR,14180,T,640,America/Chicago,H1,46480,20459,2332475973,49826380,35.7639015,-90.054166
05101,69900,Newton County,Newton,AR,25460,F,619,America/Chicago,H1,8330,4664,2126110054,5931821,35.9199747,-93.2178672
05115,69901,Pope County,Pope,AR,40780,T,693,America/Chicago,H1,61754,25551,2104490517,47206953,35.4476331,-93.0341601
05137,69902,Stone County,Stone,AR,,F,693,America/Chicago,H1,12394,6712,1570581314,7838986,35.8598662,-92.1566836
05139,69903,Union County,Union,AR,20980,T,628,America/Chicago,H1,41639,19653,2691552718,41401571,33.1713631,-92.5972883
05141,69904,Van Buren County,Van Buren,AR,,F,693,America/Chicago,H1,17295,10345,1834082139,41805938,35.5806506,-92.515702
05143,69905,Washington County,Washington,AR,22220,T,670,America/Chicago,H1,203065,87808,2439681852,27046999,35.9790675,-94.215579
05145,69906,White County,White,AR,42620,T,693,America/Chicago,H1,77076,32488,2680832626,18311035,35.2562741,-91.7455506
05147,69907,Woodruff County,Woodruff,AR,,F,693,America/Chicago,H1,7260,3893,1519780744,18707994,35.1863344,-91.2430774
05149,69908,Yell County,Yell,AR,40780,F,693,America/Chicago,H1,22185,9752,2408647209,48880316,35.0025972,-93.4112494
05083,82850,Logan County,Logan,AR,,F,670,America/Chicago,H1,22353,10108,1834034439,60696140,35.2152725,-93.7163062
05123,83331,Saint Francis County,St. Francis,AR,22620,T,640,America/Chicago,H1,28258,10903,1644048592,20050191,35.0220054,-90.7477854
01001,161526,Autauga County,Autauga,AL,33860,T,698,America/Chicago,H1,54571,22135,1539582278,25775735,32.5349208,-86.6427573
01003,161527,Baldwin County,Baldwin,AL,19300,T,686,America/Chicago,H1,182265,104061,4117521611,1133190229,30.660974,-87.7498447
01005,161528,Barbour County,Barbour,AL,21640,T,522,America/Chicago,H1,27457,11829,2291818968,50864716,31.8696032,-85.393197
01007,161529,Bibb County,Bibb,AL,13820,F,630,America/Chicago,H1,22915,8981,1612480789,9289057,32.9986443,-87.1264391
01009,161530,Blount County,Blount,AL,13820,F,630,America/Chicago,H1,57322,23887,1669961855,15157440,33.9808674,-86.567371
01011,161531,Bullock County,Bullock,AL,,F,698,America/Chicago,H1,10914,4493,1613056905,6056528,32.1005542,-85.7156972
01013,161532,Butler County,Butler,AL,,F,698,America/Chicago,H1,20947,9964,2011976894,2726814,31.7524339,-86.6802892
01015,161533,Calhoun County,Calhoun,AL,11500,T,630,America/Chicago,H1,118572,53289,1569189995,16624267,33.7714282,-85.8260346
01017,161534,Chambers County,Chambers,AL,29300,F,522,America/Chicago,H1,34215,17004,1545009282,17048142,32.9143722,-85.3920429
01019,161535,Cherokee County,Cherokee,AL,,F,630,America/Chicago,H1,25989,16267,1434075952,119858898,34.175956,-85.6037937
01021,161536,Chilton County,Chilton,AL,13820,F,630,America/Chicago,H1,43643,19278,1794483586,20586383,32.8478532,-86.7188137
01023,161537,Choctaw County,Choctaw,AL,,F,711,America/Chicago,H1,13859,7269,2365954748,19059251,32.0196108,-88.2632013
01025,161538,Clarke County,Clarke,AL,,F,686,America/Chicago,H1,25833,12638,3207609488,36542656,31.6766596,-87.8308099
01027,161539,Clay County,Clay,AL,,F,630,America/Chicago,H1,13932,6776,1564252280,5284628,33.2690859,-85.8605471
01029,161540,Cleburne County,Cleburne,AL,,F,524,America/Chicago,H1,14972,6718,1450652767,2365681,33.6745577,-85.518768
01031,161541,Coffee County,Coffee,AL,21460,T,606,America/Chicago,H1,49948,22330,1758528786,3944730,31.4026272,-85.9882069
01033,161542,Colbert County,Colbert,AL,22520,T,691,America/Chicago,H1,54428,25758,1534877333,76430813,34.7004338,-87.8049853
01035,161543,Conecuh County,Conecuh,AL,,F,686,America/Chicago,H1,13228,7093,2201894769,6644940,31.4292652,-86.9936743
01037,161544,Coosa County,Coosa,AL,10760,F,630,America/Chicago,H1,11539,6478,1685891075,39946646,32.9362268,-86.2476593
01039,161545,Covington County,Covington,AL,,F,698,America/Chicago,H1,37765,18829,2668869505,34526309,31.2484924,-86.4512425
01041,161546,Crenshaw County,Crenshaw,AL,,F,698,America/Chicago,H1,13906,6735,1576888006,5376392,31.7315002,-86.3135389
01043,161547,Cullman County,Cullman,AL,18980,T,630,America/Chicago,H1,80406,37054,1903228333,52266921,34.1319411,-86.8676194
01045,161548,Dale County,Dale,AL,37120,T,606,America/Chicago,H1,50251,22677,1453371157,4016457,31.4318271,-85.6110368
01047,161549,Dallas County,Dallas,AL,42820,T,698,America/Chicago,H1,43820,20208,2534807386,39134826,32.3259693,-87.1064804
01049,161550,DeKalb County,DeKalb,AL,22840,T,691,America/Chicago,H1,71109,31109,2012662359,4123588,34.459773,-85.8041426
01051,161551,Elmore County,Elmore,AL,33860,T,698,America/Chicago,H1,79303,32657,1601867593,99862541,32.596648,-86.1491466
01053,161552,Escambia County,Escambia,AL,12120,T,686,America/Chicago,H1,38319,16486,2447746932,20873208,31.1261225,-87.1616199
01055,161553,Etowah County,Etowah,AL,23460,T,630,America/Chicago,H1,104430,47454,1385618994,35322991,34.0452541,-86.0347622
01057,161554,Fayette County,Fayette,AL,,F,630,America/Chicago,H1,17241,8437,1625631609,4392821,33.7212061,-87.738862
01059,161555,Franklin County,Franklin,AL,,F,691,America/Chicago,H1,31704,14022,1641587713,32897905,34.4416706,-87.843812
01061,161556,Geneva County,Geneva,AL,20020,F,606,America/Chicago,H1,26790,12687,1487710425,11765293,31.0950167,-85.8389849
01063,161557,Greene County,Greene,AL,46220,F,630,America/Chicago,H1,9045,5007,1676007032,33231212,32.8531388,-87.9522309
01065,161558,Hale County,Hale,AL,46220,F,630,America/Chicago,H1,15760,7655,1667803914,32525967,32.7626642,-87.6291177
01067,161559,Henry County,Henry,AL,20020,F,606,America/Chicago,H1,17302,8891,1454926258,16986789,31.5146944,-85.2414063
01069,161560,Houston County,Houston,AL,20020,T,606,America/Chicago,H1,101547,45319,1501737720,4739984,31.153188,-85.3025274
01071,161561,Jackson County,Jackson,AL,42460,T,691,America/Chicago,H1,53227,24786,2791664869,126657194,34.779416,-85.9993005
01073,161562,Jefferson County,Jefferson,AL,13820,T,630,America/Chicago,H1,658466,300552,2878192209,32474487,33.5543143,-86.8964896
01075,161563,Lamar County,Lamar,AL,,F,673,America/Chicago,H1,14564,7354,1566544654,1600679,33.7792058,-88.0968989
01077,161564,Lauderdale County,Lauderdale,AL,22520,T,691,America/Chicago,H1,92709,43791,1729327931,138027479,34.9013724,-87.653998
01079,161565,Lawrence County,Lawrence,AL,19460,F,691,America/Chicago,H1,34339,15229,1788846568,68688464,34.521652,-87.3110445
01081,161566,Lee County,Lee,AL,12220,T,522,America/Chicago,H1,140247,62391,1573510728,21530362,32.6011365,-85.3555627
01083,161567,Limestone County,Limestone,AL,26620,F,691,America/Chicago,H1,82782,34977,1450228326,122381869,34.8100783,-86.9813748
01085,161568,Lowndes County,Lowndes,AL,33860,F,698,America/Chicago,H1,11299,5140,1854199648,23723525,32.15475,-86.6501077
01087,161569,Macon County,Macon,AL,,F,698,America/Chicago,H1,21452,10259,1577005015,11194263,32.3859737,-85.6926687
01089,161570,Madison County,Madison,AL,26620,T,691,America/Chicago,H1,334811,146447,2076116529,28771340,34.7630897,-86.5502065
01091,161572,Marengo County,Marengo,AL,,F,698,America/Chicago,H1,21027,10237,2530112461,14994547,32.2476134,-87.7895193
01093,161573,Marion County,Marion,AL,,F,630,America/Chicago,H1,30776,14737,1922526826,3313145,34.1365497,-87.8871384
01095,161574,Marshall County,Marshall,AL,10700,T,691,America/Chicago,H1,93019,40342,1465522757,148503356,34.3669621,-86.306637
01097,161575,Mobile County,Mobile,AL,33660,T,686,America/Chicago,H1,412992,178196,3184223082,1073750500,30.6851469,-88.1975295
01099,161576,Monroe County,Monroe,AL,,F,686,America/Chicago,H1,23068,11333,2656485275,22643193,31.5708367,-87.3654308
01101,161577,Montgomery County,Montgomery,AL,33860,T,698,America/Chicago,H1,229363,101641,2031190777,40571253,32.2202579,-86.2076143
01103,161578,Morgan County,Morgan,AL,19460,T,691,America/Chicago,H1,119490,51193,1500476319,51064861,34.453472,-86.8529216
01105,161579,Perry County,Perry,AL,,F,698,America/Chicago,H1,10591,4737,1863920409,10918516,32.6384657,-87.2944008
01107,161580,Pickens County,Pickens,AL,46220,F,630,America/Chicago,H1,19746,9483,2282837059,22578169,33.2808769,-88.0886926
01109,161581,Pike County,Pike,AL,45980,T,698,America/Chicago,H1,32899,15267,1740715643,2362806,31.8027085,-85.9409081
01111,161582,Randolph County,Randolph,AL,,F,524,America/Chicago,H1,22913,11982,1503616599,9285288,33.2937873,-85.4590702
01113,161583,Russell County,Russell,AL,17980,T,522,America/Chicago,H1,52947,24595,1660545751,15673340,32.28838,-85.1849624
01117,161584,Shelby County,Shelby,AL,13820,T,630,America/Chicago,H1,195085,80970,2032960300,63700594,33.264277,-86.6606484
01119,161585,Sumter County,Sumter,AL,,F,711,America/Chicago,H1,13763,6786,2341057426,24436353,32.5910175,-88.1987896
01121,161586,Talladega County,Talladega,AL,45180,T,630,America/Chicago,H1,82291,37088,1908239516,60944144,33.3800574,-86.1659069
01123,161587,Tallapoosa County,Tallapoosa,AL,10760,T,698,America/Chicago,H1,41616,22111,1855780057,128808796,32.8624049,-85.7975022
01125,161588,Tuscaloosa County,Tuscaloosa,AL,46220,T,630,America/Chicago,H1,194656,84872,3423328940,76395592,33.2895498,-87.52503
01127,161589,Walker County,Walker,AL,27530,T,630,America/Chicago,H1,67023,30816,2049177420,36263761,33.8033347,-87.2973574
01129,161590,Washington County,Washington,AL,33660,F,686,America/Chicago,H1,17581,8407,2797722307,21650857,31.4076038,-88.2078768
01131,161591,Wilcox County,Wilcox,AL,,F,698,America/Chicago,H1,11670,5649,2301200113,48985152,31.9892402,-87.3082018
01133,161592,Winston County,Winston,AL,,F,630,America/Chicago,H1,24484,13469,1587607882,48922827,34.1492251,-87.3736834
01115,164997,Saint Clair County,St. Clair,AL,13820,F,630,America/Chicago,H1,83593,35541,1636619393,56300062,33.7157029,-86.3146878
08001,198116,Adams County,Adams,CO,19740,T,751,America/Denver,H1,441603,163136,3024207713,42070226,39.8736402,-104.3378006
08003,198117,Alamosa County,Alamosa,CO,,F,751,America/Denver,H1,15445,6554,1871636898,1807726,37.5728931,-105.7882882
08005,198118,Arapahoe County,Arapahoe,CO,19740,T,751,America/Denver,H1,572003,238301,2067070049,19003734,39.6497751,-104.339236
08007,198119,Archuleta County,Archuleta,CO,,F,751,America/Denver,H1,12084,8762,3496937899,13827529,37.1936094,-107.0482883
08009,198120,Baca County,Baca,CO,,F,752,America/Denver,H1,3788,2248,6617333541,6142194,37.3191788,-102.5604766
08011,198121,Bent County,Bent,CO,,F,752,America/Denver,H1,6499,2242,3918292377,73093771,37.9550856,-103.0717046
08013,198122,Boulder County,Boulder,CO,14500,T,751,America/Denver,H1,294567,127071,1881080439,36469028,40.0924598,-105.3577057
08015,198123,Chaffee County,Chaffee,CO,,F,751,America/Denver,H1,17809,10020,2624702242,4013482,38.7469031,-106.1940667
08017,198124,Cheyenne County,Cheyenne,CO,,F,751,America/Denver,H1,1836,975,4605713068,8166204,38.8279397,-102.6033958
08019,198125,Clear Creek County,Clear Creek,CO,19740,F,751,America/Denver,H1,9088,5685,1023632674,3280082,39.6891024,-105.644359
08021,198126,Conejos County,Conejos,CO,,F,751,America/Denver,H1,8256,4286,3334326097,9235297,37.2006875,-106.191628
08023,198127,Costilla County,Costilla,CO,,F,751,America/Denver,H1,3524,2613,3177789979,8828904,37.2779523,-105.4282497
08025,198128,Crowley County,Crowley,CO,,F,752,America/Denver,H1,5823,1559,2039411297,33430434,38.3266611,-103.7848257
08027,198129,Custer County,Custer,CO,,F,752,America/Denver,H1,4255,3956,1913031045,3364771,38.1086779,-105.3674718
08029,198130,Delta County,Delta,CO,,F,751,America/Denver,H1,30952,14572,2957896781,16960873,38.8613738,-107.8628768
08031,198131,Denver County,Denver,CO,19740,T,751,America/Denver,H6,600158,285797,396268588,4225359,39.7621563,-104.8758189
08033,198132,Dolores County,Dolores,CO,,F,751,America/Denver,H1,2064,1468,2763650142,2716145,37.7516108,-108.5172653
08035,198133,Douglas County,Douglas,CO,19740,T,751,America/Denver,H1,285465,106859,2176232357,6789381,39.329723,-104.9295611
08037,198134,Eagle County,Eagle,CO,20780,T,751,America/Denver,H1,52197,31312,4362911978,18806424,39.6278256,-106.6952993
08041,198135,El Paso County,El Paso,CO,17820,T,751,America/Denver,H1,622263,252852,5508389808,7111582,38.8320891,-104.5255846
08039,198136,Elbert County,Elbert,CO,19740,F,751,America/Denver,H1,23086,8939,4793671177,442165,39.28656,-104.1358915
08043,198137,Fremont County,Fremont,CO,15860,T,752,America/Denver,H1,46824,19242,3970627343,2235395,38.4729725,-105.4396571
08045,198138,Garfield County,Garfield,CO,24060,T,751,America/Denver,H1,56389,23309,7634153703,21430621,39.5993072,-107.9039562
08047,198139,Gilpin County,Gilpin,CO,19740,F,751,America/Denver,H1,5441,3560,388229109,941918,39.8575581,-105.5225315
08049,198140,Grand County,Grand,CO,,F,751,America/Denver,H1,14843,16061,4781971576,60250184,40.1026149,-106.1183583
08051,198141,Gunnison County,Gunnison,CO,,F,751,America/Denver,H1,15324,11412,8389228965,53172021,38.6667977,-107.0317001
08053,198142,Hinsdale County,Hinsdale,CO,,F,751,America/Denver,H1,843,1388,2893667726,15324669,37.8213416,-107.3003118
08055,198143,Huerfano County,Huerfano,CO,,F,752,America/Denver,H1,6711,5075,4120672901,5792112,37.6846796,-104.9605845
08057,198144,Jackson County,Jackson,CO,,F,751,America/Denver,H1,1394,1286,4179523206,18749970,40.6664327,-106.3427947
08059,198145,Jefferson County,Jefferson,CO,19740,T,751,America/Denver,H1,534543,229967,1979289991,25446228,39.5864286,-105.2504678
08061,198146,Kiowa County,Kiowa,CO,,F,752,America/Denver,H1,1398,805,4578495505,47033007,38.4326851,-102.7403405
08063,198147,Kit Carson County,Kit Carson,CO,,F,751,America/Denver,H1,8270,3527,5596502129,2251930,39.3054413,-102.6028874
08067,198148,La Plata County,La Plata,CO,20420,T,790,America/Denver,H1,51334,25860,4382462547,19760255,37.286582,-107.8432707
08065,198149,Lake County,Lake,CO,,F,751,America/Denver,H1,7310,4271,976194289,18124336,39.2023795,-106.3448377
08069,198150,Larimer County,Larimer,CO,22660,T,751,America/Denver,H1,299630,132722,6723613486,98295250,40.6664171,-105.4611443
08071,198151,Las Animas County,Las Animas,CO,,F,752,America/Denver,H1,15507,8217,12361162110,6929979,37.3158385,-104.0386998
08073,198152,Lincoln County,Lincoln,CO,,F,751,America/Denver,H1,5467,2420,6676021407,22780586,38.9880686,-103.5139654
08075,198153,Logan County,Logan,CO,44540,T,751,America/Denver,H1,22709,8981,4761813494,16363561,40.7246687,-103.1100957
08077,198154,Mesa County,Mesa,CO,24300,T,773,America/Denver,H1,146723,62644,8622002815,31466745,39.0182905,-108.4664402
08079,198155,Mineral County,Mineral,CO,,F,751,America/Denver,H1,712,1201,2267965576,5222183,37.6689957,-106.9240946
08081,198156,Moffat County,Moffat,CO,18780,T,751,America/Denver,H1,13795,6196,12285064917,19741780,40.6184222,-108.2072906
08083,198157,Montezuma County,Montezuma,CO,,F,790,America/Denver,H1,25535,12094,5256450876,27516854,37.338434,-108.5966698
08085,198158,Montrose County,Montrose,CO,33940,T,751,America/Denver,H1,41276,18250,5803373218,4923280,38.402156,-108.2694511
08087,198159,Morgan County,Morgan,CO,22820,T,751,America/Denver,H1,28159,11490,3316304952,34473998,40.2627444,-103.8098222
08089,198160,Otero County,Otero,CO,,F,752,America/Denver,H1,18831,8969,3268465106,20052451,37.9027017,-103.7164457
08091,198161,Ouray County,Ouray,CO,33940,F,751,America/Denver,H1,4436,3083,1402718909,1599543,38.1554972,-107.7693168
08093,198162,Park County,Park,CO,19740,F,751,America/Denver,H1,16206,13947,5682034441,43530574,39.1193029,-105.7171747
08095,198163,Phillips County,Phillips,CO,,F,751,America/Denver,H1,4442,2087,1781724987,301808,40.5938843,-102.3575796
08097,198164,Pitkin County,Pitkin,CO,24060,F,751,America/Denver,H1,17148,12953,2514094239,6469384,39.2171057,-106.9165777
08099,198165,Prowers County,Prowers,CO,,F,751,America/Denver,H1,12551,5942,4243422095,15352661,37.9551832,-102.393349
08101,198166,Pueblo County,Pueblo,CO,39380,T,752,America/Denver,H1,159063,69526,6179980907,30279808,38.1734202,-104.5128456
08103,198167,Rio Blanco County,Rio Blanco,CO,,F,751,America/Denver,H1,6666,3309,8342179365,4868121,39.9798358,-108.2172258
08105,198168,Rio Grande County,Rio Grande,CO,,F,751,America/Denver,H1,11982,6630,2361959921,983955,37.5825228,-106.3832104
08107,198169,Routt County,Routt,CO,44460,T,751,America/Denver,H1,23509,16303,6117619255,15825586,40.4850679,-106.9911932
08109,198170,Saguache County,Saguache,CO,,F,751,America/Denver,H1,6108,3843,8206440775,4454555,38.0805528,-106.2815556
08111,198171,San Juan County,San Juan,CO,,F,751,America/Denver,H1,699,756,1003588157,2035933,37.7640431,-107.6761473
08113,198172,San Miguel County,San Miguel,CO,,F,751,America/Denver,H1,7359,6638,3332308274,5213876,38.0037404,-108.4059221
08115,198173,Sedgwick County,Sedgwick,CO,,F,751,America/Denver,H1,2379,1415,1419419181,3530734,40.875905,-102.3517912
